LA1,LA2,LB1,LB2,RA1,RA2,RB,IPMR CODE,"U:Used 
A:Allocated 
N:Not used 
D:DO NOT USE",Priority group for making,RING,DATE,Project,GRID,SITENAME,AGE,TAG,Old ring,,Colours,B,G,L,N,O,R,W,Y,M
B,,Y,W,B,B,M,"LAB;LBY,W;RAB,B;RBM",U,,FP01402,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,Left,Right,,,,,,,,,
B,,Y,W,B,G,M,,D,,,,,,,,,Tibia,,B,,,,,,,,,
B,,Y,W,B,L,M,"LAB;LBY,W;RAB,L;RBM",U,,FP01401,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,N,B,,,,,,,,,
B,,Y,W,B,N,M,,D,,,,,,,,,,O,,,,,,,,,,
B,,Y,W,B,O,M,"LAB;LBY,W;RAB,O;RBM",U,,FP01403,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,Tarsus,W,M,,,,,,,,,
B,,Y,W,B,R,M,"LAB;LBY,W;RAB,R;RBM",U,,FP01404,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,B,W,M,"LAB;LBY,W;RAB,W;RBM",U,,FA57945,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,B,Y,M,"LAB;LBY,W;RAB,Y;RBM",U,,FP01405,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,G,B,M,,D,,,,,,,,,,,,,,,,,,,,
B,,Y,W,G,G,M,"LAB;LBY,W;RAG,G;RBM",U,,FP01406,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,G,L,M,"LAB;LBY,W;RAG,L;RBM",U,,FP01408,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,G,N,M,,D,,,,,,,,,,,,,,,,,,,,
B,,Y,W,G,O,M,"LAB;LBY,W;RAG,O;RBM",U,,FP01409,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,G,R,M,"LAB;LBY,W;RAG,R;RBM",U,,FP01410,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,G,W,M,"LAB;LBY,W;RAG,W;RBM",U,,FP01412,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,G,Y,M,"LAB;LBY,W;RAG,Y;RBM",U,,FP01411,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,L,B,M,"LAB;LBY,W;RAL,B;RBM",U,,FP01413,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,L,G,M,"LAB;LBY,W;RAL,G;RBM",U,,FP01414,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,L,L,M,"LAB;LBY,W;RAL,L;RBM",U,,5330307,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,L,N,M,"LAB;LBY,W;RAL,N;RBM",U,,FP01415,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,L,O,M,"LAB;LBY,W;RAL,O;RBM",U,,FP01416,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,L,R,M,"LAB;LBY,W;RAL,R;RBM",U,,FP01417,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,L,W,M,"LAB;LBY,W;RAL,W;RBM",U,,FP01418,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,L,Y,M,"LAB;LBY,W;RAL,Y;RBM",U,,FP01420,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,N,B,M,,D,,,,,,,,,,,,,,,,,,,,
B,,Y,W,N,G,M,,D,,,,,,,,,,,,,,,,,,,,
B,,Y,W,N,L,M,"LAB;LBY,W;RAN,L;RBM",U,,FP01422,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,N,N,M,"LAB;LBY,W;RAN,N;RBM",U,,FP01423,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,N,O,M,"LAB;LBY,W;RAN,O;RBM",U,,FP01424,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,N,R,M,"LAB;LBY,W;RAN,R;RBM",U,,FP01421,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,N,W,M,"LAB;LBY,W;RAN,W;RBM",U,,FP01425,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,N,Y,M,"LAB;LBY,W;RAN,Y;RBM",U,,FP01426,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,O,B,M,"LAB;LBY,W;RAO,B;RBM",U,,FP01419,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,O,G,M,"LAB;LBY,W;RAO,G;RBM",U,,FP01427,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,O,L,M,"LAB;LBY,W;RAO,L;RBM",U,,FP01428,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,O,N,M,"LAB;LBY,W;RAO,N;RBM",U,,FP01429,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,O,O,M,"LAB;LBY,W;RAO,O;RBM",U,,FP01430,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
B,,Y,W,O,R,M,"LAB;LBY,W;RAO,R;RBM",U,,FP01432,26/09/2010,Turnover,ST5796,Wibdon Wharf,,,,,,,,,,,,,,
