LA1,LA2,"LB1
(Tall white)",RA1,RA2,RB1,"U:Used
A: Allocated
N: Not used
D: DO NOT USE","S: in stock
O: to order",BTO RING,Year used,Site,Date issued,Issued to,Comments
N,R,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
N,W,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
N,Y,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
N,L,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
N,G,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
N,O,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
G,L,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
G,O,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
G,R,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
G,W,WT,G,L,m,D,,,,,,Robin Ward,
G,Y,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
G,N,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
L,N,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
L,G,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
L,O,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
L,R,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
L,W,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
L,Y,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
O,N,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
O,G,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
O,L,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
O,R,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
O,W,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
O,Y,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
R,G,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
R,N,WT,G,L,m,D,,,,,,Robin Ward,
R,L,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
R,O,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
R,W,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
R,Y,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
W,N,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
W,G,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
W,L,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
W,O,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
W,R,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
W,Y,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
Y,N,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
Y,G,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
Y,L,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
Y,O,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
Y,R,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
Y,W,WT,G,L,m,A,,,,,12/21/2022,Samantha Franks,
N,R,WT,L,G,m,A,,,,,12/21/2022,Andrew Hoodless,
N,W,WT,L,G,m,A,,,,,12/21/2022,Andrew Hoodless,
N,Y,WT,L,G,m,A,,,,,12/21/2022,Andrew Hoodless,
N,L,WT,L,G,m,A,,,,,12/21/2022,Andrew Hoodless,
N,G,WT,L,G,m,A,,,,,12/21/2022,Andrew Hoodless,
N,O,WT,L,G,m,A,,,,,12/21/2022,Andrew Hoodless,
G,L,WT,L,G,m,A,,,,,12/21/2022,Andrew Hoodless,
G,O,WT,L,G,m,A,,,,,12/21/2022,Andrew Hoodless,
G,R,WT,L,G,m,A,,,,,12/21/2022,Andrew Hoodless,
G,W,WT,L,G,m,D,,,,,,Robin Ward,
G,Y,WT,L,G,m,A,,,,,12/21/2022,Andrew Hoodless,
G,N,WT,L,G,m,A,,,,,12/21/2022,Andrew Hoodless,
