urn,year,flag_id,sex,cohort_num,tag_gps_radio_none,tag_serial,radio_tag_freq,tagged_date,release_location,release_date,dead,comments
1,2021,0E,F,1,gps,203285,,03/07/2021,Sandringham,06/07/2021,,
2,2021,0J,F,1,gps,203286,,03/07/2021,Sandringham,06/07/2021,y,Found dead 8/07/2021 on Sandringhambare plowed field. Possible power line fatality and subsequently scavenged. Tag redeployed on 3K
3,2021,0L,M,1,none,,,,Sandringham,06/07/2021,,
4,2021,0K,F,1,none,,,,Sandringham,06/07/2021,,
5,2021,0A,M,1,none,,,,Sandringham,06/07/2021,,
6,2021,0U,M,1,none,,,,Sandringham,06/07/2021,,
7,2021,0N,F,1,none,,,,Sandringham,06/07/2021,,
8,2021,0C,M,1,none,,,,Sandringham,06/07/2021,,
9,2021,2A,F,2,gps,203287,,08/07/2021,Ken Hill,15/07/2021,,"tag wasn't charging, so took off and redeployed on 3A"
10,2021,2E,F,2,radio,BB318,173.846,08/07/2021,Ken Hill,15/07/2021,y,Possibly dead; looked for 27/08/2021 by AG but not found
11,2021,2J,M,2,radio,BB320,173.994,08/07/2021,Ken Hill,15/07/2021,y,Found predated 27/07/2021 on Ken Hill in wood adjacent to Beach Road and track down to release pen; likely dead for at least 4-5 days
12,2021,0V,M,2,radio,BB317,173.715,08/07/2021,Ken Hill,15/07/2021,,"Still wearing radio on 08/09/2021, seen by GQA on Wolferton saltmarsh pool"
13,2021,2U,F,2,radio,BB316,173.311,08/07/2021,Ken Hill,15/07/2021,,
14,2021,0P,F,2,radio,BB319,173.931,08/07/2021,Ken Hill,15/07/2021,,
15,2021,2N,M,2,none,,,,Ken Hill,15/07/2021,,
16,2021,0X,M,2,none,,,,Ken Hill,15/07/2021,,
17,2021,0T,F,2,none,,,,Ken Hill,15/07/2021,,
18,2021,2K,F,2,none,,,,Ken Hill,15/07/2021,,
19,2021,2C,M,2,none,,,,Ken Hill,15/07/2021,,
20,2021,2L,F,2,none,,,,Ken Hill,15/07/2021,,
21,2021,2H,F,2,none,,,,Ken Hill,15/07/2021,,
22,2021,2V,F,2,none,,,,Ken Hill,15/07/2021,,
23,2021,0Y,F,2,none,,,,Ken Hill,15/07/2021,,
24,2021,2P,F,2,none,,,,Ken Hill,15/07/2021,,
25,2021,2X,M,2,none,,,,Ken Hill,15/07/2021,,
26,2021,3L,M,3,radio,BB384,173.291,17/07/2021,Ken Hill,20/07/2021,,
27,2021,2T,F,3,none,,,,Ken Hill,20/07/2021,,
