Read in,Start,End,Variable,Description
01-Apr,1,4,IYEA,Year
May-13,5,13,IREF,Reference number
14-17,14,17,IPL1,County
18-21,18,21,IOBS(1),Observer code
22-29,22,29,IGRI(1),Grid ref
30-33,30,33,IALT,Altitude
34-38,34,38,IHEI,Height
39-41,39,41,IHB1,First level habitat
42-44,42,44,IPNO,Pair number
45-46,45,46,IDS,Data source
47-51,47,51,JOBID,Job ID
52-71,52,71,IPROJ1,Project Code 1
72-79,72,79,IPRO1R,Project Reg 1
80-82,80,82,IPROJ2,Project Code 2
83-90,83,90,IPRO2R,Project Reg 2
91-94,91,94,MINFEG,Minimum first egg date
95-98,95,98,MAXFEG,Maximum first egg date
99-102,99,102,MINLEG,Minimum last egg date
103-106,103,106,MAXLEG,Maximum last egg date
107-110,107,110,MINFHA,Minimum first hatching date
111-114,111,114,MAXFHA,Maximum first hatching date
115-118,115,118,MINLHA,Minimum last hatching date
119-122,119,122,MAXLHA,Maximum last hatching date
123-126,123,126,MINFND,Minimum first day young left nest
127-130,127,130,MAXFND,Maximum first day young left nest
131-134,131,134,MINLND,Minimum last day young left nest
135-138,135,138,MAXLND,Maximum last day young left nest
139-140,139,140,MAXCO,Maximum nest contents
141-142,141,142,MAXEG,Maximum number of eggs
143-144,143,144,MAXYN,Maximum number of young
145-146,145,146,KLUTCH,Estimated clutch size
147-150,147,150,IFEGAC,First egg accuracy
151-154,151,154,IRREG,Irregular laying flag
155-158,155,158,ILEGAC,Last egg accuracy
159-160,159,160,MINCLU,Minimum clutch size
161-162,161,162,MAXCLU,Maximum clutch size
163-165,163,165,MININC,Minimum incubation period
166-169,166,169,MAXINC,Maximum incubation period
170-172,170,172,MINHAT,Minimum number hatched young
173-176,173,176,MINNES,Minimum nestling period whole brood
177-179,177,179,MAXNES,Maximum nestling period whole brood
180-181,180,181,MINASY,Asynchrony flag
182-183,182,183,IERROR,Error flag
184-185,184,185,ISUCC,Success flag
