Start_filespec,End_filespec,Variable,Type,Start_actual,End_actual
2,9,refno,Numeric,1,9
12,17,nestno,Numeric,10,17
18,22,lvis,Numeric,18,22
24,27,county,Char,23,27
30,33,year,Numeric,28,33
35,38,obs,Varchar,34,39
40,47,gridref,Varchar,40,52
53,56,altitude,Numeric,53,56
59,64,height,Numeric,57,64
66,68,habitat,Varchar,65,69
70,71,datasource,Varchar,70,71
71,78,jobid,Numeric,72,78
79,85,pairno,Numeric,79,85
87,90,date,Varchar,86,90
91,95,eggs,Numeric,91,95
97,104,eggs_acc,Numeric,96,104
105,110,pulli,Numeric,105,110
112,120,pulli_acc,Numeric,111,120
122,123,prim_status,Char,121,123
125,144,project1code,Varchar,125,144
146,165,project1reg,Varchar,145,165
167,186,project2code,Varchar,167,186
188,207,project2reg,Varchar,188,207
