speccode,cbc_code,engname,resolution,tenkm,tetrad_id,STANTA,season,obsday,obsmonth,obsyear,protocol_id,how_many,breedcode,app_occ_nests,cat
203,CU,Curlew,2,TF70,M,Out,B,20,5,2008,AROV,,D,,2
203,CU,Curlew,2,TF70,M,Out,B,28,5,2009,AROV,2,FL,,3
203,CU,Curlew,2,TF70,R,Out,B,12,4,2010,AROV,2,NE,,3
203,CU,Curlew,2,TF70,T,Out,B,14,5,2008,ATTV1,1,D,,2
203,CU,Curlew,2,TF70,X,Out,B,7,5,2011,AROV,1,NE,,3
203,CU,Curlew,2,TF80,A,Out,B,10,4,2011,AROV,2,P,,2
203,CU,Curlew,2,TF80,B,Out,B,10,4,2011,AROV,2,P,,2
203,CU,Curlew,2,TF80,F,Out,B,10,4,2011,AROV,1,H,,1
203,CU,Curlew,2,TF80,G,Out,B,10,4,2011,AROV,1,H,,1
203,CU,Curlew,2,TF80,K,Out,B,12,4,2008,ATTV1,4,D,,2
203,CU,Curlew,2,TF80,K,Out,B,16,6,2008,ATTV2,4,P,,2
203,CU,Curlew,2,TF80,Q,Out,B,13,4,2008,ATTV2,4,D,,2
203,CU,Curlew,2,TF80,T,Out,B,31,5,2010,AROV,2,H,,1
203,CU,Curlew,2,TL76,C,Out,B,28,4,2011,ATTV2,1,H,,1
203,CU,Curlew,2,TL77,G,Out,B,9,5,2009,AROV,,H,,1
203,CU,Curlew,2,TL77,I,Out,B,25,4,2008,ATTV2,1,H,,1
203,CU,Curlew,2,TL77,I,Out,B,22,5,2009,AROV,2,P,,2
203,CU,Curlew,2,TL77,I,Out,B,4,5,2008,AROV,,D,,2
203,CU,Curlew,2,TL77,I,Out,B,14,6,2010,AROV,4,H,,1
203,CU,Curlew,2,TL77,I,Out,B,20,6,2008,ATTV1,1,S,,1
203,CU,Curlew,2,TL77,I,Out,B,20,6,2008,ATTV2,2,S,,1
203,CU,Curlew,2,TL77,I,Out,B,22,7,2010,AROV,2,NY,,3
203,CU,Curlew,2,TL77,J,Out,B,4,4,2008,ATTV2,4,P,,2
203,CU,Curlew,2,TL77,J,Out,B,25,7,2008,ATTV2,4,FL,,3
203,CU,Curlew,2,TL77,L,Out,B,4,5,2008,AROV,,S,,1
203,CU,Curlew,2,TL77,L,Out,B,12,5,2008,ATTV1,3,D,,2
203,CU,Curlew,2,TL77,L,Out,B,12,5,2008,ATTV2,1,D,,2
203,CU,Curlew,2,TL77,L,Out,B,24,6,2008,AROV,3,H,,1
203,CU,Curlew,2,TL77,L,Out,B,27,6,2008,ATTV1,6,H,,1
203,CU,Curlew,2,TL77,M,Out,B,30,5,2008,AROV,2,H,,1
203,CU,Curlew,2,TL77,M,Out,B,15,5,2008,AROV,1,P,,2
203,CU,Curlew,2,TL77,M,Out,B,9,7,2008,ATTV2,2,H,,1
203,CU,Curlew,2,TL77,N,Out,B,2,6,2011,AROV,,H,,1
203,CU,Curlew,2,TL77,P,Out,B,29,6,2008,ATTV2,1,H,,1
203,CU,Curlew,2,TL77,R,Out,B,2,5,2008,ATTV1,2,H,,1
203,CU,Curlew,2,TL77,S,Out,B,10,4,2011,AROV,2,P,,2
203,CU,Curlew,2,TL77,S,Out,B,22,4,2008,ATTV1,2,P,,2
203,CU,Curlew,2,TL77,S,Out,B,22,4,2008,ATTV2,3,P,,2
203,CU,Curlew,2,TL77,S,Out,B,3,6,2011,AROV,4,NY,,3
203,CU,Curlew,2,TL77,S,Out,B,2,6,2010,AROV,,D,,2
203,CU,Curlew,2,TL77,T,Out,B,22,5,2011,ATTV2,2,S,,1
203,CU,Curlew,2,TL77,U,Out,B,28,4,2008,ATTV2,2,P,,2
203,CU,Curlew,2,TL77,W,Out,B,27,4,2008,ATTV1,1,D,,2
203,CU,Curlew,2,TL77,W,Out,B,27,4,2008,ATTV2,1,D,,2
203,CU,Curlew,2,TL77,W,Out,B,2,6,2010,AROV,,D,,2
203,CU,Curlew,2,TL77,W,Out,B,2,6,2010,AROV,1,D,,2
203,CU,Curlew,2,TL77,X,Out,B,22,4,2008,ATTV1,4,P,,2
203,CU,Curlew,2,TL77,X,Out,B,22,4,2008,ATTV2,2,P,,2
203,CU,Curlew,2,TL77,X,Out,B,3,5,2008,AROV,,NE,,3
203,CU,Curlew,2,TL77,X,Out,B,21,6,2011,AROV,2,A,,2
203,CU,Curlew,2,TL77,X,Out,B,12,6,2010,AROV,,H,,1
203,CU,Curlew,2,TL77,X,Out,B,2,6,2010,AROV,2,D,,2
203,CU,Curlew,2,TL77,X,Out,B,2,6,2010,AROV,,D,,2
203,CU,Curlew,2,TL77,X,Out,B,13,6,2008,AROV,,FL,,3
203,CU,Curlew,2,TL77,X,Out,B,23,6,2008,ATTV1,7,P,,2
203,CU,Curlew,2,TL77,Y,Out,B,10,4,2011,AROV,2,P,,2
203,CU,Curlew,2,TL77,Y,Out,B,24,4,2008,ATTV1,5,H,,1
203,CU,Curlew,2,TL77,Y,Out,B,19,5,2008,AROV,2,P,,2
203,CU,Curlew,2,TL77,Y,Out,B,15,5,2008,AROV,1,P,,2
203,CU,Curlew,2,TL77,Y,Out,B,19,5,2008,AROV,2,P,,2
203,CU,Curlew,2,TL77,Y,Out,B,2,5,2009,AROV,2,S,,1
203,CU,Curlew,2,TL77,Z,Out,B,24,6,2008,ATTV2,1,H,,1
203,CU,Curlew,2,TL78,C,Out,B,12,6,2011,BTL,9,FL,,3
203,CU,Curlew,2,TL78,C,Out,B,6,6,2011,BTL,4,DD,,3
203,CU,Curlew,2,TL78,C,Out,B,12,7,2011,BTL,9,T,,2
203,CU,Curlew,2,TL78,F,Out,B,15,6,2010,AROV,,NE,,3
203,CU,Curlew,2,TL78,G,Out,B,9,7,2010,BTC,6,NY,,3
203,CU,Curlew,2,TL78,K,Out,B,18,4,2008,AROV,1,H,,1
203,CU,Curlew,2,TL78,K,Out,B,25,4,2008,ATTV1,5,D,,2
203,CU,Curlew,2,TL78,K,Out,B,25,4,2008,ATTV2,1,D,,2
